Smiles,Standard Relation,Standard Value,Standard Units
COC(=O)[C@@H](C)NC(=O)[C@@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C,'=',7000.0,nM
CNc1nc(Nc2ccc(-n3cncn3)c(OC)c2)nc(-c2ccccc2)n1,'=',180.0,nM
Cc1nsc(N2CCC(Nc3nc4c(-c5ccc(F)c(F)c5F)cccn4n3)C(F)(F)C2)n1,'=',143.0,nM
O=C(O)[C@H](CC1CCC1)c1cc(Cl)c(OCC(F)(F)F)c(-c2ccc(C(F)(F)F)cc2)c1,'=',67.0,nM
COC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C,'=',3000.0,nM
O=C(OC[C@H]1CCC[C@@H](c2cc(F)cc(F)c2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,'=',4.0,nM
COc1c(C#N)ccc2[nH]c(-c3cn4c(n3)[C@H](c3ccccc3Cl)O[C@H](C)C4)cc12,'=',17.0,nM
C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(=O)ccoc3c2)c2ccccc2N(C)C1=O,'=',1.2,nM
COC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)Cc1ccccc1,'=',800.0,nM
CCCCN(C)C(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)Cc1ccc(F)cc1,'=',36.0,nM
COC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,'=',20000.0,nM
C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCCO3)c2ccccc2N(C)C1=O,'=',4.7,nM
COc1cc(-c2cn([C@H]3C[C@@H](C(C)(C)C)CCN(CC(C)(C)C)C3=O)nn2)ccc1-n1cnc(C)c1,'=',130.0,nM
COc1cc(Nc2nc3n(n2)C(C)CC(=O)N3Cc2cc(F)ccc2F)ccc1-n1cnc(C)c1,'=',19.95,nM
CCOC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)CCC(C)C,'=',1500.0,nM
COc1cc(/C=C/c2nc(N)c3c4c(sc3n2)CCCCC4)ccc1-n1cnc(C)c1,'=',200.0,nM
COc1ccc2c(c1)N(S(=O)(=O)c1ccc(Cl)cc1)C(C)c1c[nH]nc1-2,'=',2.0,nM
CC1c2c[nH]nc2-c2ccc(OCc3ccccc3)cc2N1S(=O)(=O)c1ccc(Cl)cc1,'=',1.5,nM
O=C1OCCN1c1ccc2c(c1)N(S(=O)(=O)c1ccc(C(F)(F)F)cc1)C(C1CC1)c1c[nH]nc1-2,'=',0.26,nM
CC1c2c[nH]nc2-c2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,'=',1.2,nM
O=S(=O)(c1ccc(F)cc1)N1c2ccccc2-c2n[nH]cc2C1C1CC1,'=',0.42,nM
CC1c2c[nH]nc2-c2cc(F)ccc2N1S(=O)(=O)c1cnn(C)c1,'=',280.0,nM
COc1cc(-c2cn(CC(=O)N([C@H](C)c3ccccc3)[C@H](C)c3ccccc3)nn2)ccc1-n1cnc(C)c1,'=',430.0,nM
COc1cc(-c2cn([C@H]3C[C@@H](C(C)(C)C)CCN(CC45CC6CC(CC(C6)C4)C5)C3=O)nn2)ccc1-n1cnc(C)c1,'=',240.0,nM
COc1cc(-c2cn(CC(=O)N(c3ccccc3)C3CCCCC3)nn2)ccc1-n1cnc(C)c1,'=',8710.0,nM
COc1cc(-c2ccc(N[C@H](C)c3ccc(F)cc3)nn2)ccc1-n1cnc(C)c1,'=',630.96,nM
COc1cc(-c2ccc(NCc3ccc(F)cc3)nn2)ccc1-n1cnc(C)c1,'=',630.96,nM
COc1cc(-c2ccc(N[C@@H](C)c3ccccc3F)nn2)ccc1-n1cnc(C)c1,'=',79.43,nM
CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C#N)cc3)c3c(F)ccc(F)c3OC[C@@H]12,'=',25.0,nM
COc1cc(-c2noc3c2CCCC3(O)c2cc(F)cc(F)c2)ccc1-n1cnc(C)c1,'=',190.0,nM
Cc1cn(-c2ccc(-c3cn([C@H]4CCc5c(F)cccc5N(CC(F)(F)F)C4=O)nn3)cc2C#N)cn1,'=',50.0,nM
Cc1cn(-c2ccc(-c3cn([C@H]4CCc5c(F)cccc5N(CC(F)(F)F)C4=O)nn3)cc2)cn1,'=',70.0,nM
COc1ccc(Cc2nc3c(n2C)CCc2cc(-c4ccnc(C)c4)ccc2C3=O)cc1,'=',380.0,nM
C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)Nc1cn(C(C)(C)CN2CCCC2)cn1,'=',7.8,nM
C[C@H](CCCn1ccnc1)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,'=',11.0,nM
COc1cc(-c2cn(C3CCc4ncccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,'=',940.0,nM
O=C(OC1(C2CCCC(c3cc(F)cc(F)c3)N2S(=O)(=O)c2cc(F)cc(F)c2)CC1)N1CCN(CCO)CC1,'=',16.8,nM
CC(c1ccc2ccccc2c1)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,'=',100.0,nM
Cc1nnc(C2CC3Cc4[nH]ncc4C(C2)N3S(=O)(=O)c2ccc(Cl)cc2)s1,'=',40716.0,nM
COc1cc(Nc2nc3n(n2)CCC(=O)N3Cc2ccccc2Cl)ccc1-n1cnc(C)n1,'=',39.81,nM
COc1ccc(CN([C@@H]2CC(F)(F)CCNC2=O)S(=O)(=O)c2ccc(Cl)s2)cn1,'=',110.0,nM
COc1ccc(CN([C@@H]2CC(F)(F)CCNC2=O)S(=O)(=O)CCC(F)(F)F)cn1,'=',150.0,nM
CC(C)C[C@H](NC(=O)[C@@H](O)c1ccccc1)C(=O)NC1C(=O)N(C)N=Cc2ccccc21,'=',0.4,nM
COc1cc(/C=C2\O[C@H](C)CN3C2=NOC[C@@H]3c2cc(F)c(F)c(F)c2)ccc1-n1cnc(C)c1,'=',11.0,nM
COc1cc(/C=C2\CCCN3C2=NOC[C@@H]3CS(C)(=O)=O)ccc1-n1cnc(C)c1,'=',19000.0,nM
COc1cc(/C=C2\CCCN3C2=NOCC32CCOc3ccc(F)cc32)ccc1-n1cnc(C)c1,'=',400.0,nM
O=C(OC1([C@H]2CCC[C@@H](c3cc(F)cc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCO)CC1,'=',2.5,nM
CC(C(=O)NC1C(=O)N(C)c2ccccc2-c2ccccc21)C(=O)NC(C)(C)c1ccccc1,'=',20.0,nM
O=S(=O)(c1ccc(Cl)cc1)N1C2Cc3[nH]ncc3C1CC(c1nc3ccccc3[nH]1)C2,'=',40902.0,nM
Cn1nc(C(F)(F)F)c(C(=O)N2CCC(c3cc(F)ccc3F)(S(=O)(=O)c3ccc(Cl)cc3)CC2)c1Cl,'=',230.0,nM
COc1cc(/C=C2\CCCN3C2=NOC[C@@H]3Cc2ccccc2)ccc1-n1cnc(C)c1,'=',80.0,nM
COc1cc(/C=C2\CCCN3CCON=C23)ccc1-n1cnc(C)c1,'=',3100.0,nM
COc1cc(/C=C2\CCCN3C2=NOCC3(CO)c2ccc(F)cc2)ccc1-n1cnc(C)c1,'=',13300.0,nM
O=C(N1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1)C1(C(F)(F)F)CCCCC1,'=',180.0,nM
COc1ccc2c(C(=O)N3CCC(c4cc(F)ccc4F)(S(=O)(=O)c4ccc(Cl)cc4)CC3)c[nH]c2c1,'=',80.0,nM
COc1cc(-c2cn(CC(=O)N(Cc3ccccc3)CC(F)(F)F)nn2)ccc1-n1cnc(C)c1,'=',2430.0,nM
COc1cc(-c2cn(C3CC(C(F)(F)F)CCNC3=O)nn2)ccc1-n1cnc(C)c1,'=',9100.0,nM
COc1cc(-c2cn([C@H]3C[C@@H](C(C)(C)C)CCN(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,'=',9.0,nM
COc1cc(-c2cn([C@H]3C[C@@H](C(C)(C)C)CCN(CC45CC6CC(CC(C6)C4)C5)C3=O)nn2)ccc1-n1cnc(C)c1,'=',1330.0,nM
COc1cc(-c2cn([C@H]3C[C@@H](C(F)(F)F)CN(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,'=',1910.0,nM
COc1cc(-c2cn(CC(=O)N(CC(F)(F)F)c3cccc4ccccc34)nn2)ccc1-n1cnc(C)c1,'=',90.0,nM
COc1ccc(CN2CCCn3c(-c4ccc(-n5cnc(C)c5)c(OC)c4)nnc32)cc1,'=',1409.0,nM
CC[C@@H](c1ccc(F)cc1)N1CCCc2c(-c3ccc(-n4cnc(C)c4)c(OC)c3)noc21,'=',875.0,nM
COc1cc(-c2n[nH]c3c2CCCN3C(C)c2ccc(F)cc2)ccc1-n1cnc(C)c1,'=',164.0,nM
Cc1noc(C2CC3Cc4[nH]ncc4C(C2)N3S(=O)(=O)c2ccc(Cl)cc2)n1,'=',6346.0,nM
Cc1nnc(C23CC(Nc4nc5n(n4)CCCN5c4ccc(OC(F)(F)F)cc4)(C2)C3)o1,'=',587.0,nM
COc1cc(Nc2cccc3oc(-c4ccc(F)cc4)nc23)ccc1-n1cnc(C)c1,'=',5289.0,nM
COc1cc(-c2ccc(N[C@@H](C)c3ccc(F)cc3)nc2)ccc1-c1sc(C)nc1C,'=',5011.87,nM
COc1cc(-c2cn(Cc3cccc(C(F)(F)F)c3)nn2)ccc1-n1cnc(C)c1,'=',6020.0,nM
COc1cc(-c2cc(C(C)C)c(N[C@@H](C)c3ccc(F)cc3)nn2)ccc1-n1cnc(C)c1,'=',100.0,nM
CCCC(c1ccc(F)cc1)N1CCCn2c(-c3ccc(-n4cnc(C)c4)c(OC)c3)nnc21,'=',145.0,nM
CCC[C@H](NC(CC)CC)C(=O)Nc1cn(C(C)(C)CN2CCCC2)cn1,'=',310.0,nM
CC(C)[C@@H]1c2c[nH]nc2-c2cc(F)c(F)cc2N1S(=O)(=O)c1ccc(C(F)(F)F)cc1,'=',17.0,nM
CC(C)CCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C(=O)Cc1ccccc1,'=',300.0,nM
O=S(=O)(c1ccc(C(F)(F)F)nc1)N1C2Cc3[nH]ncc3C1CC(c1ccccc1)C2,'=',7471.0,nM
NC(=O)[C@@H](CCC(F)(F)F)N(CC12CC(c3ncon3)(C1)C2)S(=O)(=O)c1ccc(Cl)cc1,'=',0.178,nM
COc1cc(/C=C/c2nc3cc(C(F)(F)F)ccc3c(=O)[nH]2)ccc1-n1cnc(C)c1,'=',3740.0,nM
COc1cc(Nc2cccc3c2nc(Cc2ccc(F)cc2)n3C)ccc1-n1cnc(C)c1,'=',82.0,nM
O=S(=O)(c1ccc(C(F)(F)F)cc1)N1C2Cc3[nH]ncc3C1CC(c1ccc(-n3ccnc3)cc1)C2,'=',40.0,nM
COc1ccc(Br)cc1-c1csc(Nc2ccc(-n3ccnc3)c(OC)c2)n1,'=',789.0,nM
Cc1cn(-c2ccc3c(c2)NC(=O)c2ccc(Cc4ccccc4)nc2N3)cn1,'=',50.0,nM
CNc1nc(Nc2ccc(-n3cnc(C)n3)c(OC)c2)nc2c1CC[C@H]2c1ccc(F)cc1,'=',4.0,nM
COc1nc(-c2csc(Nc3c4c(nn3C3CCCCC3)CCCC4)n2)ccc1-n1cnc(C)c1,'=',63.0,nM
CCn1nc(C(C)C)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(OC)n2)cs1,'=',184.0,nM
COC(=O)[C@@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C,'=',15000.0,nM
COC(=O)[C@H](NC(=O)[C@@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](CC(C)C)NC(=O)OC(C)(C)C)C(C)C,'=',2000.0,nM
COC(=O)[C@H](NC(=O)[C@H](NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C)C(C)C,'=',12000.0,nM
COC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C,'=',2000.0,nM
COC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C,'=',800.0,nM
COC(=O)[C@H](NC(=O)[C@@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C,'=',17000.0,nM
CC(C)C[C@@H](NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](C(=O)OC(C)(C)C)C(C)C,'=',3000.0,nM
O=S(=O)(N[C@H]1CC[C@@](c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1)C(F)(F)F,'=',5.0,nM
O=C1OCC[C@]12CCC[C@@]1(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]21,'=',228.0,nM
COc1nc(-c2nc3n(n2)CCC[C@H]3c2ccccc2C(F)(F)F)ccc1-n1cnc(C)c1,'=',28.0,nM
COc1cc(-c2nc3n(n2)CCO[C@H]3c2ccccc2C(F)(F)F)ccc1-n1cnc(C)c1,'=',71.0,nM
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N3CCN(c4ccc(F)cc4)CC3)nc21,'=',2700.0,nM
Cc1cc(-c2ccc(NC(=O)C(C)c3cccc(-c4ccc(N(C)C)cc4)c3)cc2)ccn1,'=',120.0,nM
COc1cc(C(=O)NCCC(c2ccccc2)c2ccccc2)ccc1-n1cnc(C)c1,'=',320.0,nM
Cc1cc(-c2ccc(/C=C3\CCCN([C@@H](C)c4ccc(F)cc4)C3=O)cc2)ccn1,'=',1530.0,nM
COc1cc(NC(=O)Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)ccc1-n1cnc(C)c1,'=',1450.0,nM
CCCc1cc(-c2ccc(NS(=O)(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)ccn1,'=',4060.0,nM
O=S(=O)(Nc1ccc(-c2ccncc2)cc1)c1cc(Cl)cc(Cl)c1,'=',2750.0,nM
CCN(CC)c1ccc(C)c(Nc2nc(-c3ccc(-n4cnc(C)c4)cc3)cs2)c1,'=',560.0,nM
COc1cc(-c2nc3n(n2)CCC[C@H]3c2ccc(F)cc2C)ccc1-n1cnc(C)c1,'=',40.0,nM
C[C@@H]1c2c[nH]nc2-c2cc(F)ccc2N1S(=O)(=O)c1ccc(Cl)cc1,'=',14.0,nM
CC(C)[C@@H]1c2c[nH]nc2-c2cc(F)c(F)cc2N1S(=O)(=O)c1ccc(C(F)(F)F)cc1,'=',1.4,nM
O=S(=O)(c1ccc(C(F)(F)F)nc1)N1[C@H]2c3c[nH]nc3C[C@@H]1c1scnc12,'=',133.0,nM
COc1cc(/C=C2\CCCN3C2=NOCC3C(O)c2ccc(Cl)cc2)ccc1-n1cnc(C)c1,'=',300.0,nM
O=S(=O)(c1ccc(Cl)cc1)C1(c2ccccc2)CCCCC1,'=',461.0,nM
CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C(C)(C)NC(=O)CNC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C)C(C)C)C(=O)NC(C)(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C(=O)OC)[C@@H](C)CC)C(C)C)C(C)C)[C@@H](C)OCc1ccccc1,'=',780.0,nM
Cc1cn(-c2ccc(-c3cn([C@H]4CCc5c(F)cccc5N(CC(F)(F)F)C4=O)nn3)cc2C#N)cn1,'=',380.0,nM
COc1cc(-c2cn([C@H]3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-c1ccnc(C)c1,'=',18.0,nM
COc1cc(-c2ccc(N[C@@H](C)c3ccccc3)nn2)ccc1-n1cnc(C)c1,'=',158.49,nM
COc1cc(-c2ccc(N[C@@H](C)c3cccc(F)c3)nn2)ccc1-n1cnc(C)c1,'=',125.89,nM
CC[C@H](Nc1ccc(-c2ccc(-n3cnc(C)c3)c(OC)c2)nn1)c1ccc(F)cc1,'=',125.89,nM
COC[C@H](Nc1ccc(-c2ccc(-n3cnc(C)c3)c(OC)c2)nn1)c1ccccc1,'=',316.23,nM
COc1cc(-c2cc(C(C)C)c(N[C@@H](C)c3ccc(F)cc3)nn2)ccc1-n1cnc(C)c1,'=',50.12,nM
COc1cc(Nc2cccc3cn(Cc4ccc(F)cc4)nc23)ccc1-n1cnc(C)c1,'=',69.0,nM
CC(=O)O[C@@H]([C@@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](OC(=O)CCC(=O)O)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,'=',1600.0,nM
CC(=O)O[C@@H]([C@@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](OC(=O)NCCN)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,'=',91.0,nM
COc1c(-n2cnc(C)c2)ccc(-c2nc(Nc3cc(C(F)(F)F)ccc3F)n(C)n2)c1F,'=',45.0,nM
COc1cc(-c2noc3c2CCCC3NCc2cc(F)cc(F)c2)ccc1-n1cnc(C)c1,'=',29.0,nM
CC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)Cc1ccccc1,'=',900.0,nM
CC1CN(CC2CC2)CCN1C(=O)OC[C@H]1CCC[C@@H](c2cccc(F)c2)N1S(=O)(=O)c1ccc(Cl)cc1,'=',26.0,nM
O=C(OC[C@H]1CCC[C@@H](Cc2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,'=',4770.0,nM
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,'=',400.0,nM
Cc1cn(-c2ccc(-c3csc(Nc4c5c(nn4C4CCOC4)CCCC5)n3)cc2F)cn1,'=',289.0,nM
Cc1cn(-c2ccc(-c3csc(Nc4c5c(nn4CCCN4CCOCC4)CCCC5)n3)cc2F)cn1,'=',270.0,nM
CCn1nc(C2(C)CC2)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,'=',67.0,nM
Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4C(C)(C)C)n3)cc2F)cn1,'=',121.0,nM
CCNC(=O)c1ccc(-c2c(C)nc3c(OCc4ccc(-c5ccccc5C(F)(F)F)cc4)cccn23)cn1.Cl,'=',180.0,nM
COCCOC(=O)N1CC2Cc3[nH]ncc3C(C1)N2S(=O)(=O)c1ccc(Cl)cc1,'=',989.0,nM
COc1cc(/C=C2\CCCN3CCC(c4cc(F)cc(Cl)c4)ON=C23)ccc1-n1cnc(C)c1,'=',64.0,nM
O=S(=O)(NC1C2CCC1Cc1cc(/C=C/CN3CCOCC3)ccc1C2)c1ccc(Cl)s1,'=',315.0,nM
CC(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(N)=O,'=',9.93,nM
O=S1(=O)NC[C@@H]2C[C@](c3cc(F)ccc3F)(S(=O)(=O)c3ccc(Cl)cc3)CC[C@@H]2N1C1CC1,'=',0.04,nM
CCN1C[C@@H]2C[C@](c3cc(F)ccc3F)(S(=O)(=O)c3ccc(Cl)cc3)CC[C@@H]2NS1(=O)=O,'=',0.4,nM
CC(C)C[C@H](NC(=O)Cc1ccc2ccccc2c1)C(=O)N[C@@H](CC1CCCCC1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,'=',4700.0,nM
C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)N[C@H]1N=C(c2ccccc2)c2ccccc2N(C)C1=O,'=',2.7,nM
CC[C@H]1Cc2n[nH]cc2CN1S(=O)(=O)c1ccc(Cl)cc1,'=',1.01,nM
CC[C@H]1Cc2n[nH]cc2[C@@H](c2ccc(Cl)cc2)N1S(=O)(=O)c1ccc(Cl)cc1,'=',3.7,nM
O=S(=O)(c1ccc(Cl)cc1)N1Cc2c[nH]nc2CC1c1ccc(F)cc1,'=',481.0,nM
O=S(=O)(c1ccc(Cl)cc1)N1Cc2c[nH]nc2CC1c1cncnc1,'=',10375.0,nM
COc1cc(/C=C2\NC(=O)N([C@@H](C)c3ccc(F)cc3)C2=O)ccc1-n1cnc(C)c1,'=',163.0,nM
COc1cc(/C=C2\N=C3NCC(c4ccc(F)cc4)N3C2=O)ccc1-n1cnc(C)c1,'=',135.0,nM
COc1cc(Cc2c[nH]c(=N)n([C@@H](C)c3ccc(F)cc3)c2=O)ccc1-n1cnc(C)c1,'=',446.0,nM
O=C1C=CC(F)(F)C2=C1[C@]1(S(=O)(=O)c3ccc(C(F)(F)F)cc3)CC[C@@H](NS(=O)(=O)C3CC3)C[C@@H]1CO2,'=',280.0,nM
N#C[C@H]1C[C@@H]1CN([C@H](CCC(F)(F)F)C(N)=O)S(=O)(=O)c1ccc(Cl)cc1,'=',6.92,nM
COc1cc(-c2cn([C@H]3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,'=',35000.0,nM
CC(C)CC[C@H](c1ccc(Cl)cc1)N1CC[C@@H](CC(=O)O)C[C@H]1c1ccc(C(F)(F)F)cc1,'=',120.0,nM
COc1cc(-c2nc(-c3ccc(F)cc3)n(C)n2)ccc1-n1cnc(C)c1,'=',620.0,nM
O=S(=O)(c1cccc(C(F)(F)F)c1)N1[C@@H]2c3ccccc3[C@H]1Cc1n[nH]cc12,'=',117.0,nM
O=S(=O)(c1cccc(C(F)(F)F)c1)N1[C@@H]2c3ccc(Cl)cc3[C@H]1Cc1n[nH]cc12,'=',1.86,nM
O=S(=O)(c1ccc(Cl)cc1)N1Cc2c[nH]nc2C[C@@H]1c1cccc(F)c1,'=',8.3,nM
CCC[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)Nc1cn(CCN2CCCC2)cn1,'=',52.7,nM
CCC[C@H](NC1CCc2cc(F)ccc2C1)C(=O)Nc1cn(C(C)(C)CN2CCCC2)cn1,'=',19.3,nM
CCN(CCCN1CCCC1)C(=O)OCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,'=',172.0,nM
O=C(NCCO)OCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,'=',4488.0,nM
COc1cc(Nc2nc3c(s2)CCCC3c2ccccc2)ccc1-c1cnn(C)c1,'=',244.0,nM
CCCCCCCCn1c2ccccc2c2cc(C=O)c(OCC(=O)OC)cc21,'=',89000.0,nM
Cc1cn(-c2ccc(-c3ccc(N[C@@H](C)c4ccc(F)cc4)nc3)cc2-c2ccccc2)cn1,'=',10000.0,nM
C=CC[C@H]1CCC[C@](c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)C1,'=',85.0,nM
CC(c1ccccc1OCCCN1CCCC1)N(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(Cl)cc1,'=',1300.0,nM
C[C@H]1C[C@@H](CN([C@H](CCC(F)(F)F)C(N)=O)S(=O)(=O)c2ccc(Cl)cc2)O1,'=',10.8,nM
CCC[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)Nc1nc(C)c(C(C)N2CCN(C)CC2)s1,'=',28.3,nM
CCCCN(CC)Cc1cnc(NC(=O)[C@H](CCC)NC(=O)Cc2cc(F)cc(F)c2)s1,'=',30.0,nM
CC(C)(C)C1CCNC(=O)C(N(Cc2ccc(C(=O)NC3CC3)cc2)S(=O)(=O)c2ccc(Cl)cc2)C1,'=',120.0,nM
CCC[C@H](NC(=O)[C@H](O)c1ccccc1)C(=O)Nc1ncc(C(O)(CC)CC)s1,'=',183.0,nM
CCCCNC(C)c1cnc(NC(=O)[C@H](CCC)NC(=O)Cc2cc(F)cc(F)c2)s1,'=',2.0,nM
CCC[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)Nc1ncc(CN)s1,'=',93.0,nM
CC1(C)CCC(C)(C)c2cc(S(=O)(=O)N(C[C@H](O)[C@@H](N)c3ccccc3)C3CCC3)ccc21,'=',1800.0,nM
O=S(=O)(Cc1cc(F)ccc1F)c1ccc(Cl)cc1,'=',4408.0,nM
CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C(C)(C)NC(=O)CNC(=O)OC(C)(C)C)C(C)C)C(C)C)C(=O)NC(C)(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C(=O)OC)[C@@H](C)CC)C(C)C)C(C)C)[C@@H](C)OCc1ccccc1,'=',360.0,nM
CC[C@@H](C)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)C(C)(C)NC(=O)CNC(=O)[C@H](NC(=O)C(C)(C)NC(=O)[C@@H](CC(C)C)NC(=O)OC(C)(C)C)C(C)C)C(C)C)C(C)C)C(=O)NC(C)(C)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)NC(C)(C)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)NC(C)(C)C(=O)OC)[C@H](C)CC)C(C)C)C(C)C)[C@H](C)OCc1ccccc1,'=',16.0,nM
CC1CCCN1CCOc1ccc2c(c1)CC1CCC(C2)C1NS(=O)(=O)c1ccc(Cl)s1,'=',335.0,nM
COc1cc(-c2cn([C@H]3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C(F)(F)F)c1,'=',500.0,nM
CC1(C)C[C@@H](CN([C@H](CCC(F)(F)F)C(N)=O)S(=O)(=O)c2ccc(Cl)cc2)O1,'=',16.5,nM
COc1cc(Nc2nc(C)c(Cc3cccc(Cl)c3)s2)ccc1-n1cnc(C)c1,'=',214.0,nM
CC(c1ccccc1OCCCN1CCCC1)N(c1ccccc1)S(=O)(=O)c1ccc(C(F)(F)F)cc1,'=',400.0,nM
