Smiles,Standard Relation,Standard Value,Standard Units
CC[C@@H](C)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)C(C)(C)NC(=O)CNC(=O)[C@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C)C(C)C)C(=O)NC(C)(C)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)NC(C)(C)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)NC(C)(C)C(=O)OC)[C@H](C)CC)C(C)C)C(C)C)[C@H](C)OCc1ccccc1,'=',0.14,nM
CN1CCN(CC(=O)Nc2ccc3c(c2)CC2CCC(C3)C2NS(=O)(=O)c2ccc(Cl)s2)CC1,'=',69.0,nM
CC(C)CCCC(=O)Nc1ccc2c(c1)CC1CCC(C2)C1NS(=O)(=O)c1ccccc1,'=',535.0,nM
O=S(=O)(NC1C2CCC1Cc1cc(OCCN3CCCCC3)ccc1C2)c1ccc(Cl)s1,'=',73.0,nM
COC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C,'=',500.0,nM
O=S(=O)(c1ccc(Cl)cc1)N1Cc2c[nH]nc2CC1c1cccc(F)c1,'=',8.3,nM
O=C(Nc1ccc2c(c1)CC1CCC(C2)C1NS(=O)(=O)c1ccccc1)OCc1ccccc1Cl,'=',153.0,nM
O=C(CNCc1ccccc1)Nc1ccc2c(c1)CC1CCC(C2)C1NS(=O)(=O)c1ccc(Cl)s1,'=',3490.0,nM
COc1cc(Nc2nc3n(n2)C2(CC2)CC(=O)N3Cc2ccc(F)cc2)ccc1-n1cnc(C)c1,'=',12.59,nM
COc1cc(Nc2nc3n(n2)CCC(=O)N3Cc2ccccc2)ccc1-n1cnc(C)c1,'=',12.59,nM
COc1cc(Nc2nc3n(n2)CCC(=O)N3c2ccccc2)ccc1-n1cnc(C)c1,'=',39.81,nM
Cc1cn(-c2ccc(-c3nc(Nc4cc(C(F)(F)F)ccc4F)n(C)n3)cc2OC(F)(F)F)cn1,'=',790.0,nM
COCCn1nc(-c2ccc(-n3cnc(C)c3)c(OC)c2)nc1Nc1cc(C(F)(F)F)ccc1F,'=',52.0,nM
Cc1cn(-c2ccc3n(c2=O)CCN(Cc2cccc4ccccc24)C3=O)cn1,'=',234.0,nM
Cc1cn(-c2ccc3n(c2=O)CCN([C@H](C)c2cn(C)c4ccc(C(F)(F)F)cc24)C3=O)cn1,'=',389.0,nM
CCn1cc(CN2CCn3c(ccc(-n4cnc(C)c4)c3=O)C2=O)c2nc(C(F)(F)F)ccc21,'=',361.0,nM
Cc1cn(-c2ccc3n(c2=O)CCN(Cc2[nH]c4ccccc4c2Cl)C3=O)cn1,'=',207.0,nM
C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@@H]1C(=O)N(C)N=Cc2ccccc21,'=',510.0,nM
CC[C@@H]1C(=O)c2[nH]ncc2[C@H](CC)N1S(=O)(=O)c1ccc(Cl)cc1,'=',546.0,nM
CCCCN(C)C(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](OC)c1ccccc1,'=',2000.0,nM
COC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C,'=',200.0,nM
COC(=O)[C@H](NC(=O)[C@@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C,'=',2000.0,nM
COC(=O)[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C,'=',9000.0,nM
COC(=O)[C@H](NC(=O)[C@H](NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C)C(C)C,'=',2000.0,nM
CCCCN(C)C(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)Cc1cccc(C)c1,'=',454.0,nM
CSc1ccc(/C=C2/C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1,'=',82500.0,nM
CC[C@@H]1c2cn[nH]c2C(F)(F)[C@H](CC)N1S(=O)(=O)c1ccc(C(F)(F)F)nc1,'=',304.0,nM
O=S(=O)(c1ccc(C(F)(F)F)cc1)N1CC(F)(F)c2[nH]ncc2C1C(F)(F)F,'=',403.0,nM
CC1(C)CCNC(=O)C(N(Cc2ccc(C(=O)NC3CC3)cc2)S(=O)(=O)c2ccc(Cl)cc2)C1,'=',6.0,nM
N#CC12CCCCC(CC1)C2NS(=O)(=O)c1ccc(Cl)s1,'=',257.0,nM
C[C@H](CCCn1cncn1)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,'=',4.8,nM
C[C@H](CCCNS(C)(=O)=O)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,'=',0.23,nM
C=C(Cl)CN(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(C)cc1,'=',850.0,nM
CCCCCCCCc1ccc(S(=O)(=O)n2c3ccccc3c3ccc(OCC(=O)O)cc32)cc1,'=',37000.0,nM
CCCCCCCCn1c2ccccc2c2ccc(OCC(=O)O)cc21,'=',19000.0,nM
CN(c1ccccc1)C1CCN(C(=O)OC2(C3CCCC(c4cccc(F)c4)N3S(=O)(=O)c3ccc(Cl)cc3)CC2)CC1,'=',15.4,nM
O=C(OC1([C@H]2CCC[C@@H](c3cc(F)cc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCC2(CC1)C(=O)NCN2c1ccccc1,'=',8.5,nM
Cc1cn(-c2ccc(-c3ccc(N[C@@H](C)c4ccc(F)cc4)nc3)cc2C)cn1,'=',6309.57,nM
CCOc1ccc(CN([C@H]2CCCCNC2=O)S(=O)(=O)c2ccc(Br)cc2)cc1,'=',3400.0,nM
CC(c1ccc(F)cc1)N([C@@H]1CCCCNC1=O)S(=O)(=O)c1ccc(Cl)cc1,'=',4500.0,nM
COC(=O)[C@@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C,'=',6000.0,nM
COC(=O)[C@H](NC(=O)[C@@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C,'=',3000.0,nM
CC(C(=O)NCC1CC1)C(=O)NC1C(=O)N(C)c2ccccc2-c2ccccc21,'=',0.21,nM
COc1cc(/C=C2\CCCN3C2=NOC3(CO)c2ccc(C#N)cc2)ccc1-n1cnc(C)c1,'=',117.0,nM
O=C(O)C1CC2Cc3[nH]ncc3C(C1)N2S(=O)(=O)c1ccc(Cl)cc1,'=',8813.0,nM
