Standard Value,smiles_encoded,exactmw,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,CrippenClogP,hallKierAlpha
2430.0,981,484.1834586360001,0.25,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.038920000000003,-4.1499999999999995
20.0,1026,516.170843264,0.45454545454545453,4.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,4.352120000000003,-3.5800000000000005
210.0,1026,516.170843264,0.45454545454545453,4.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,4.352120000000003,-3.5800000000000005
5120.0,949,422.2430242000001,0.4782608695652174,4.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,3.7037200000000023,-3.1599999999999997
480.0,949,422.2430242000001,0.4782608695652174,4.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,3.7037200000000023,-3.1599999999999997
510.0,1011,532.2586742640001,0.25,6.0,5.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,5.5953200000000045,-4.719999999999999
80.0,1011,532.2586742640001,0.25,6.0,5.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,5.5953200000000045,-4.719999999999999
39980.0,1804,469.08540147599996,0.42105263157894735,5.0,3.0,2.0,5.0,3.0,1.0,2.0,0.0,2.0,3.0,3.0,3.822720000000003,-2.3099999999999987
149.0,1804,469.08540147599996,0.42105263157894735,5.0,3.0,2.0,5.0,3.0,1.0,2.0,0.0,2.0,3.0,3.0,3.822720000000003,-2.3099999999999987
6600.0,2203,466.1086596960001,0.3333333333333333,5.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,4.196900000000004,-2.789999999999999
10.0,2203,466.1086596960001,0.3333333333333333,5.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,4.196900000000004,-2.789999999999999
26719.0,2264,419.052896496,0.3157894736842105,5.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,4.358900000000003,-1.6699999999999995
29.0,2264,419.052896496,0.3157894736842105,5.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,4.358900000000003,-1.6699999999999995
879.0,2221,337.06517543200005,0.4,4.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.9037000000000006,-1.37
2.0,2221,337.06517543200005,0.4,4.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.9037000000000006,-1.37
29.0,36,504.144296256,0.3333333333333333,5.0,3.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,4.6212000000000035,-3.1799999999999984
